A2M
A2ML1_AS1
AACS
AAK1
AAMDC
AARS
AASDH
AASDHPPT
ABAT
ABCA1
ABCA10
ABCA11P
ABCA3
ABCA5
ABCA6
ABCA9
ABCB1
ABCB10
ABCB7
ABCB9
ABCC1
ABCC5
ABCC8
ABCD2
ABCD3
ABCD4
ABCE1
ABHD12
ABHD13
ABHD14A
ABHD14A_ACY1
ABHD14B
ABHD15_AS1
ABHD2
ABHD5
ABHD6
ABHD8
ABI1
ABI2
ABL1
ABL2
ABLIM1
ABLIM2
ABR
ACACA
ACAD11
ACADM
ACADSB
ACADVL
ACAP2
ACAP3
ACAT1
ACAT2
ACBD3
ACBD5
ACBD6
ACER3
ACHE
ACIN1
ACLY
ACO1
ACO2
ACOT11
ACOT13
ACOT7
ACOX1
ACP1
ACSBG1
ACSL1
ACSL3
ACSL4
ACSL6
ACSM3
ACSS2
ACSS3
ACTB
ACTG1
ACTN1
ACTN2
ACTR10
ACTR1A
ACTR2
ACTR3
ACTR3B
ACTR3C
ACTR6
ACVR1
ACVR1B
ACVR1C
ACVR2A
ACVR2B
ACYP1
ACYP2
ADAL
ADAM10
ADAM12
ADAM17
ADAM19
ADAM20
ADAM20P1
ADAM22
ADAM23
ADAM32
ADAM9
ADAMTS12
ADAMTS17
ADAMTS19
ADAMTS20
ADAMTS3
ADAMTS6
ADAMTS9_AS2
ADAMTSL3
ADAR
ADARB1
ADARB2
ADARB2_AS1
ADCK3
ADCY1
ADCY2
ADCY3
ADCY5
ADCY8
ADCY9
ADCYAP1R1
ADD1
ADD2
ADD3
ADGRA1
ADGRB3
ADGRL1
ADGRL2
ADGRL3
ADGRL3_AS1
ADGRV1
ADIPOR1
ADIPOR2
ADK
ADNP
ADRA1A
ADRA1B
ADRBK2
ADSS
AEBP2
AES
AFAP1
AFAP1_AS1
AFF1
AFF2
AFF3
AFF4
AFG3L2
AFMID
AFTPH
AGAP1
AGAP10P
AGAP3
AGAP4
AGAP5
AGAP6
AGAP7P
AGAP9
AGBL1
AGBL3
AGBL4
AGBL4_IT1
AGBL5
AGFG1
AGK
AGL
AGO1
AGO2
AGO3
AGO4
AGPAT1
AGPAT3
AGPAT4
AGPAT5
AGPS
AGTPBP1
AHCTF1
AHCYL1
AHCYL2
AHDC1
AHI1
AHRR
AHSA1
AHSA2
AIG1
AIMP1
AK2
AK3
AK5
AK9
AKAP1
AKAP10
AKAP11
AKAP12
AKAP13
AKAP6
AKAP7
AKAP8L
AKAP9
AKIRIN2
AKR1C1
AKR1C2
AKT3
AKTIP
ALCAM
ALDH1A2
ALDH2
ALDH3A2
ALDH5A1
ALDH7A1
ALDOA
ALDOC
ALG11
ALG13
ALG14
ALG5
ALG6
ALG9
ALK
ALKBH5
ALMS1
ALOX12_AS1
ALOX12P2
ALS2
ALS2CR11
ALS2CR12
AMBRA1
AMD1
AMER2
AMFR
AMIGO1
AMMECR1
AMN1
AMPD2
AMPD3
AMPH
AMY1A
AMY2B
AMZ1
ANAPC1
ANAPC10
ANAPC16
ANAPC4
ANAPC5
ANAPC7
ANGEL1
ANGEL2
ANK1
ANK2
ANK3
ANKAR
ANKDD1A
ANKDD1B
ANKFN1
ANKFY1
ANKH
ANKHD1
ANKHD1_EIF4EBP3
ANKIB1
ANKMY1
ANKMY2
ANKRD10
ANKRD11
ANKRD12
ANKRD13A
ANKRD13C
ANKRD17
ANKRD18B
ANKRD18CP
ANKRD19P
ANKRD20A1
ANKRD20A11P
ANKRD20A2
ANKRD20A3
ANKRD20A4
ANKRD20A5P
ANKRD20A7P
ANKRD20A8P
ANKRD23
ANKRD26
ANKRD26P1
ANKRD28
ANKRD29
ANKRD30B
ANKRD30BL
ANKRD30BP1
ANKRD30BP2
ANKRD31
ANKRD32
ANKRD34C_AS1
ANKRD36
ANKRD36B
ANKRD36BP2
ANKRD36C
ANKRD42
ANKRD44
ANKRD46
ANKRD49
ANKRD55
ANKRD6
ANKS1A
ANKS1B
ANKS6
ANKUB1
ANO10
ANO3
ANO4
ANO5
ANO6
ANP32A
ANTXR2
ANXA6
ANXA7
AP1G1
AP1G2
AP1S2
AP2A1
AP2A2
AP2B1
AP2M1
AP3B1
AP3B2
AP3D1
AP3M2
AP3S1
AP3S2
AP4B1_AS1
AP4E1
AP4S1
AP5M1
AP5Z1
APAF1
APBA1
APBA2
APBB1
APBB2
APBB3
APC
APH1B
API5
APIP
APLF
APLP1
APLP2
APMAP
APOA1_AS
APOLD1
APOO
APOOL
APOPT1
APP
APPBP2
APPL1
APPL2
AQP4_AS1
AQR
ARAP2
ARCN1
ARF1
ARF3
ARF4
ARF5
ARFGAP2
ARFGAP3
ARFGEF1
ARFGEF2
ARFGEF3
ARFIP1
ARG2
ARGLU1
ARHGAP1
ARHGAP10
ARHGAP11B
ARHGAP12
ARHGAP15
ARHGAP17
ARHGAP19_SLIT1
ARHGAP20
ARHGAP21
ARHGAP22
ARHGAP24
ARHGAP26
ARHGAP28
ARHGAP32
ARHGAP35
ARHGAP44
ARHGAP5
ARHGAP6
ARHGEF11
ARHGEF12
ARHGEF26
ARHGEF26_AS1
ARHGEF28
ARHGEF3
ARHGEF4
ARHGEF7
ARHGEF9
ARID1A
ARID1B
ARID2
ARID4A
ARID4B
ARID5B
ARIH1
ARIH2
ARL1
ARL10
ARL13B
