A2ML1_AS1
AAK1
AAMDC
AARS
AARSD1
AASDH
AASDHPPT
AATK
ABAT
ABCA1
ABCA10
ABCA11P
ABCA2
ABCA3
ABCA5
ABCA6
ABCA9
ABCB1
ABCB5
ABCB9
ABCC1
ABCC5
ABCC8
ABCD2
ABCD3
ABCD4
ABCE1
ABHD12
ABHD14A
ABHD14A_ACY1
ABHD14B
ABHD15_AS1
ABHD2
ABHD5
ABHD8
ABI1
ABI2
ABI3BP
ABL1
ABL2
ABLIM1
ABLIM2
ABLIM3
ABR
ACACA
ACAD11
ACAD8
ACADM
ACADSB
ACADVL
ACAP2
ACAT1
ACAT2
ACBD5
ACBD6
ACER3
ACHE
ACIN1
ACLY
ACO1
ACO2
ACOT13
ACOT7
ACOX1
ACOX3
ACP1
ACSBG1
ACSL3
ACSL4
ACSL6
ACSM3
ACSS2
ACSS3
ACTB
ACTG1
ACTL6B
ACTN1
ACTR10
ACTR1A
ACTR2
ACTR3
ACTR3B
ACTR3C
ACTR6
ACVR1B
ACVR1C
ACVR2A
ACVR2B
ACYP1
ACYP2
ADAM10
ADAM12
ADAM17
ADAM19
ADAM20P1
ADAM22
ADAM23
ADAM32
ADAM33
ADAM9
ADAMTS17
ADAMTS19
ADAMTS20
ADAMTS3
ADAMTS6
ADAMTS9_AS2
ADAMTSL3
ADAR
ADARB1
ADARB2
ADARB2_AS1
ADCK1
ADCK3
ADCY1
ADCY2
ADCY3
ADCY5
ADCY9
ADCYAP1R1
ADD1
ADD2
ADD3
ADGRA2
ADGRB3
ADGRL1
ADGRL2
ADGRL3
ADGRL3_AS1
ADGRV1
ADIPOR2
ADK
ADNP
ADNP_AS1
ADRA1A
ADRA1B
ADRBK2
ADSS
AEBP2
AES
AFAP1
AFF1
AFF2
AFF3
AFF4
AFG3L2
AFTPH
AGAP1
AGAP3
AGAP4
AGAP5
AGAP6
AGAP7P
AGAP9
AGBL1
AGBL3
AGBL4
AGBL4_IT1
AGBL5
AGFG1
AGGF1
AGK
AGL
AGO1
AGO3
AGO4
AGPAT1
AGPAT3
AGPAT4
AGPAT5
AGPS
AGTPBP1
AHCTF1
AHCYL1
AHCYL2
AHDC1
AHI1
AHRR
AHSA1
AHSA2
AIG1
AIMP1
AJAP1
AK2
AK3
AK5
AK9
AKAP1
AKAP10
AKAP11
AKAP13
AKAP2
AKAP6
AKAP7
AKAP8L
AKAP9
AKR1B1
AKR1C1
AKR1C2
AKT2
AKT3
AKTIP
ALCAM
ALDH1A2
ALDH2
ALDH3A2
ALDH5A1
ALDH7A1
ALDOA
ALDOC
ALG13
ALG14
ALG8
ALG9
ALK
ALKBH5
ALKBH8
ALMS1
ALOX12_AS1
ALOX12P2
ALS2
ALS2CR11
ALS2CR12
AMBRA1
AMD1
AMER2
AMFR
AMMECR1
AMN1
AMOTL1
AMPD2
AMPH
AMY2B
AMZ1
ANAPC1
ANAPC10
ANAPC16
ANAPC4
ANAPC5
ANAPC7
ANGPT1
ANK1
ANK2
ANK3
ANKAR
ANKDD1A
ANKDD1B
ANKFN1
