A2ML1_AS1
AACS
AAGAB
AAK1
AAMDC
AARS
AARSD1
AASDH
AASDHPPT
AATF
ABAT
ABCA10
ABCA11P
ABCA17P
ABCA2
ABCA3
ABCA5
ABCA6
ABCA9
ABCB1
ABCB10
ABCB7
ABCB9
ABCC1
ABCC10
ABCC11
ABCC5
ABCC8
ABCD2
ABCD3
ABCD4
ABCE1
ABHD12
ABHD13
ABHD14A
ABHD14A_ACY1
ABHD14B
ABHD15_AS1
ABHD16A
ABHD2
ABHD5
ABHD6
ABHD8
ABI1
ABI2
ABL1
ABL2
ABLIM1
ABLIM2
ABLIM3
ABR
ACAA1
ACACA
ACAD11
ACAD8
ACAD9
ACADM
ACADSB
ACADVL
ACAP2
ACAP3
ACAT1
ACAT2
ACBD3
ACBD6
ACD
ACER3
ACIN1
ACKR4
ACMSD
ACO1
ACO2
ACOT13
ACOT7
ACOX1
ACOX3
ACP1
ACRC
ACSBG1
ACSL3
ACSL4
ACSL6
ACSM3
ACSS2
ACSS3
ACTA2
ACTB
ACTG1
ACTL6B
ACTN1
ACTN2
ACTN4
ACTR10
ACTR1A
ACTR1B
ACTR2
ACTR3
ACTR3B
ACTR3C
ACTR6
ACVR1
ACVR1B
ACVR1C
ACVR2A
ACYP1
ACYP2
ADAL
ADAM10
ADAM11
ADAM12
ADAM17
ADAM19
ADAM20
ADAM20P1
ADAM22
ADAM23
ADAM32
ADAM9
ADAMTS16
ADAMTS17
ADAMTS19
ADAMTS20
ADAMTS3
ADAMTS6
ADAMTS7P1
ADAMTS9_AS2
ADAMTSL1
ADAMTSL3
ADAP1
ADAR
ADARB1
ADARB2
ADAT2
ADCK3
ADCY1
ADCY2
ADCY3
ADCY5
ADCY9
ADCYAP1
ADD1
ADD2
ADD3
ADGRB1
ADGRB2
ADGRB3
ADGRL1
ADGRL2
ADGRL3
ADGRL3_AS1
ADGRV1
ADIPOR1
ADIPOR2
ADK
ADNP
ADNP_AS1
ADRA1A
ADRB1
ADRBK2
ADSS
AEBP2
AES
AFAP1
AFF1
AFF2
AFF3
AFF4
AFG3L2
AFTPH
AGAP1
AGAP10P
AGAP11
AGAP2
AGAP3
AGAP4
AGAP5
AGAP6
AGAP7P
AGAP9
AGBL1
AGBL3
AGBL4
AGBL4_IT1
AGBL5
AGFG1
AGGF1
AGK
AGL
AGMO
AGO1
AGO3
AGO4
AGPAT3
AGPAT4
AGPAT5
AGPS
AGTPBP1
AHCTF1
AHCYL1
AHCYL2
AHDC1
AHI1
AHR
AHRR
AHSA1
AHSA2
AIDA
AIG1
AIMP1
AJAP1
AK2
AK3
AK4
AK5
AK9
AKAP1
AKAP10
AKAP11
AKAP12
AKAP13
AKAP5
AKAP6
AKAP7
AKAP8L
AKAP9
AKIRIN1
AKIRIN2
AKR1C2
AKT2
AKT3
AKTIP
ALCAM
ALDH1A2
ALDH3A2
ALDH5A1
ALDOA
ALDOC
ALG11
ALG13
ALG14
ALG5
ALG6
ALG8
ALG9
ALK
ALKBH1
ALKBH3
ALKBH8
ALMS1
ALOX12_AS1
ALOX12P2
ALS2
ALS2CR11
ALS2CR12
AMBRA1
AMD1
AMER2
AMFR
AMMECR1
AMN1
AMPD2
AMPD3
AMPH
AMY1A
AMY2A
AMY2B
AMZ1
AMZ2P1
ANAPC1
ANAPC10
