A2ML1_AS1
AACS
AAK1
AAMDC
AARS
AASDH
AASDHPPT
AATK
ABAT
ABCA1
ABCA10
ABCA11P
ABCA17P
ABCA2
ABCA3
ABCA5
ABCA6
ABCA9
ABCB1
ABCB10
ABCB5
ABCB7
ABCB8
ABCB9
ABCC1
ABCC10
ABCC5
ABCC8
ABCD2
ABCD3
ABCE1
ABCF1
ABHD12
ABHD13
ABHD14A
ABHD14A_ACY1
ABHD14B
ABHD15_AS1
ABHD2
ABHD5
ABHD6
ABHD8
ABI1
ABI2
ABL1
ABL2
ABLIM1
ABLIM2
ABLIM3
ABR
ACACA
ACAD11
ACAD8
ACAD9
ACADM
ACADSB
ACADVL
ACAP2
ACAT1
ACAT2
ACBD5
ACBD6
ACER3
ACIN1
ACLY
ACMSD
ACO1
ACO2
ACOT13
ACOT7
ACP1
ACSBG1
ACSL3
ACSL4
ACSL6
ACSM3
ACSS2
ACSS3
ACTA2
ACTB
ACTG1
ACTL6B
ACTN1
ACTR10
ACTR1B
ACTR2
ACTR3
ACTR3B
ACTR6
ACVR1C
ACVR2A
ACVR2B
ACYP1
ACYP2
ADAM10
ADAM12
ADAM17
ADAM19
ADAM20
ADAM20P1
ADAM22
ADAM23
ADAM32
ADAM33
ADAM9
ADAMTS10
ADAMTS12
ADAMTS17
ADAMTS19
ADAMTS20
ADAMTS3
ADAMTS6
ADAMTS9
ADAMTS9_AS2
ADAMTSL3
ADAP1
ADAR
ADARB1
ADARB2
ADARB2_AS1
ADCK3
ADCY1
ADCY2
ADCY3
ADCY5
ADCY6
ADCY9
ADCYAP1R1
ADD1
ADD2
ADD3
ADGRA1
ADGRB2
ADGRB3
ADGRE3
ADGRL1
ADGRL2
ADGRL3
ADGRV1
ADIPOR2
ADK
ADNP
ADNP2
ADPGK
ADRA1A
ADRA1B
ADRA1D
ADRBK2
ADSS
AEBP2
AES
AFAP1
AFF1
AFF2
AFF3
AFF4
AFG3L2
AFMID
AFTPH
AGAP1
AGAP10P
AGAP11
AGAP3
AGAP4
AGAP5
AGAP6
AGAP7P
AGAP9
AGBL1
AGBL3
AGBL4
AGBL4_IT1
AGFG1
AGGF1
AGK
AGL
AGMO
AGO1
AGO3
AGO4
AGPAT3
AGPAT4
AGPAT5
AGPAT6
AGPS
AGTPBP1
AGXT2
AHCTF1
AHCYL1
AHCYL2
AHDC1
AHI1
AHSA2
AIG1
AIMP1
AJAP1
AK2
AK3
AK5
AK9
AKAP10
AKAP11
AKAP12
AKAP13
AKAP2
AKAP6
AKAP7
AKAP8L
AKAP9
AKIRIN2
AKR1C1
AKR1C2
AKR1C3
AKT2
AKT3
AKTIP
ALAD
ALAS1
ALCAM
ALDH1A2
ALDH1L2
ALDH2
ALDH5A1
ALDH9A1
ALDOA
ALDOC
ALG11
ALG13
ALG14
ALG9
ALK
